instrument_calibrationDate,instrument_calibrationReport,instrument_calibrationReportNew
"""2016-04-20""","""SEA024_CTD_DO_calib_files_SN0188_2016.pdf""","""43F_3365_20160420_SOCAdjusted.pdf"""
"""2018-08-14""","""SEA024_CTD_DO_calib_files_SN0188_2018""","""43F_3365_20180814.pdf, 43F_3365_20180814_SOCadjusted.pdf"""
"""2019-08-18""","""SEA024_CTD_DO_calib_files_SN0188_2019""","""43F_3365_20190818.pdf, 43F_3365_20190818_SOCAdjusted.pdf"""
"""2021-01-05""","""SEA024_CTD_DO_calib_files_SN0188_2021""","""43F_3365_20201016_postCruise.pdf, 43F_3365_20210105.pdf, 43F_3365_20210105_SOCAdjusted.pdf, 43F_3365_20221105_postCruise.pdf"""
"""2016-12-07""","""SEA024_FLBBCD_calib_files_SN4550.pdf""","""FLBBCD_4550_20161207.pdf"""
"""2017-11-02""","""SEA032_CTD_calib_files_SN0241_2017.pdf""","""GPCTD_0241_20171020_P.pdf, GPCTD_0241_20171102_C.pdf, GPCTD_0241_20171102_T.pdf"""
"""2019-12-29""","""SEA032_CTD_calib_files_SN0241_2020""","""GPCTD_0241_20191203_P.pdf, GPCTD_0241_20191229_C.pdf, GPCTD_0241_20191229_T.pdf"""
"""2022-01-13""","""SEA032_CTD_calib_files_SN0241_2022""","""GPCTD_0241_20211216_P.pdf, GPCTD_0241_20211221_C_postCruise.pdf, GPCTD_0241_20211221_T_postCruise.pdf, GPCTD_0241_20220113_C.pdf, GPCTD_0241_20220113_T.pdf"""
"""2017-11-03""","""SEA032_RINKO_calib_files_SN0020_2017.pdf""","""AROD_FT_0020_20171103.pdf"""
"""2020-01-22""","""SEA032_RINKO_calib_files_SN0020_2020.pdf""","""AROD_FT_0020_20200122.pdf"""
"""2020-03-16""","""SEA032_MFLUV1_calib_files_2020.pdf""","""MFLUV1_7_20200316.pdf"""
"""2017-05-04""","""SEA032_FLBBCD_calib_files_SN4739.pdf""","""FLBBCD_4739_20170504.pdf"""
