"units"
"mhos/m"
"decibar"
"psu"
"degree_Celsius"
"micromole/kg"
"volt"
"hertz"
"count"
"degree"
"micromole/l"
"microsecond"
"ml/l"
"millibar"
"m-1"
"ntu"
"mg/m3"
"ppb"
"dimensionless"
"percent"
"nanoampere"
"W/m^2/nm"
"W/m^2/nm/sr"
"microMoleQuanta/m^2/sec"
"days"
"ru"
