"id","variable_nerc_unit","variable_nerc_unitLongName","variable_nerc_unitVocabulary","variable_nerc_variableLongName","variable_nerc_variableName","variable_nerc_variableVocabulary"
"139","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Raw signal (standard deviation) from turbulence profiler thermistor (second sensor)","RAW_STDEV_TURB_THERMISTOR_2","http://vocab.nerc.ac.uk/collection/OG1/current/RTHERTUR_SD2/"
"140","kg/m^3","Kilograms per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UKMC/","Sigma-T","SIGMA_T","http://vocab.nerc.ac.uk/collection/OG1/current/SIGMA_T/"
"141","kg/m^3","Kilograms per cubic metre","http://vocab.nerc.ac.uk/collection/P06/current/UKMC/","Sigma-theta","SIGMA_THETA","http://vocab.nerc.ac.uk/collection/OG1/current/SIGTHETA/"
"142","m/s","Metres per second","http://vocab.nerc.ac.uk/collection/P06/current/UVAA/","Sound velocity in the water body","SOUNDVEL","http://vocab.nerc.ac.uk/collection/OG1/current/SOUNDVEL/"
"143","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Count which is expressive of uncalibrated temperature value reported by oxygen sensor","TEMP_COUNT_DOXY","http://vocab.nerc.ac.uk/collection/OG1/current/TCNTDOXY/"
"144","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Thermistor signal from backscattering sensor","TEMP_CPU_CHLA","http://vocab.nerc.ac.uk/collection/OG1/current/TCPUCHLA/"
"145","degC","Degrees Celsius","http://vocab.nerc.ac.uk/collection/P06/current/UPAA/","Sea temperature in-situ ITS-90 scale","TEMP","http://vocab.nerc.ac.uk/collection/OG1/current/TEMP/"
"146","degC","Degrees Celsius","http://vocab.nerc.ac.uk/collection/P06/current/UPAA/","Sea temperature from oxygen sensor ITS-90 scale","TEMP_DOXY","http://vocab.nerc.ac.uk/collection/OG1/current/TEMPDOXY/"
"147","nan","nan","nan","Internal temperature of the conductivity cell","TEMP_CNDC","http://vocab.nerc.ac.uk/collection/OG1/current/TEMP_CNDC/"
"148","degC","Degrees Celsius","http://vocab.nerc.ac.uk/collection/P06/current/UPAA/","Sea water potential temperature","THETA","http://vocab.nerc.ac.uk/collection/OG1/current/THETA/"
"149","s","Seconds","http://vocab.nerc.ac.uk/collection/P06/current/UTBB/","epoch time (glider)","TIME","http://vocab.nerc.ac.uk/collection/OG1/current/TIME/"
"150","s","Seconds","http://vocab.nerc.ac.uk/collection/P06/current/UTBB/","Time elapsed since since start of day","TIME_SINCE_MIDNIGHT_OF_CURRENT_DAY","http://vocab.nerc.ac.uk/collection/OG1/current/TIMEDF/"
"151","s","Seconds","http://vocab.nerc.ac.uk/collection/P06/current/UTBB/","Time elapsed since since start of glider yo","TIME_FROM_YO_START","http://vocab.nerc.ac.uk/collection/OG1/current/TIMEYO/"
"152","deg","Degrees","http://vocab.nerc.ac.uk/collection/P06/current/UAAA/","Uncalibrated (temperature compensated) phase shift reported by oxygen sensor","TPHASE_DOXY","http://vocab.nerc.ac.uk/collection/OG1/current/TPHDOXY/"
"153","nan","nan","nan","Turbidity of water in the water body","TURBIDITY","http://vocab.nerc.ac.uk/collection/OG1/current/TURB/"
"154","V","Volts","http://vocab.nerc.ac.uk/collection/P06/current/UVLT/","Thermistor voltage reported by oxygen sensor","TEMP_VOLTAGE_DOXY","http://vocab.nerc.ac.uk/collection/OG1/current/TVLTDOXY/"
"155","Dmnless","Dimensionless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/","Setting (counts) of glider variable buoyancy device","GLIDER_VBD_COUNT","http://vocab.nerc.ac.uk/collection/OG1/current/VBD/"
"156","V","Volts","http://vocab.nerc.ac.uk/collection/P06/current/UVLT/","Voltage reported by oxygen sensor","VOLTAGE_DOXY","http://vocab.nerc.ac.uk/collection/OG1/current/VLTDOXY/"
"157","cm/s","Centimetres per second","http://vocab.nerc.ac.uk/collection/P06/current/UVBB/","Eastward current velocity in the water body","WATERCURRENTS_U","http://vocab.nerc.ac.uk/collection/OG1/current/WCUR_X/"
"158","cm/s","Centimetres per second","http://vocab.nerc.ac.uk/collection/P06/current/UVBB/","Northward current velocity in the water body","WATERCURRENTS_V","http://vocab.nerc.ac.uk/collection/OG1/current/WCUR_Y/"
"159","W/m^2/nm","Watts per square metre per nanometre","http://vocab.nerc.ac.uk/collection/P06/current/UWNM/","The vertical component of light at 655nm wavelength travelling downwards.","DOWN_IRRADIANCE655","http://vocab.nerc.ac.uk/collection/OG1/current/ED655/"
