"id","instrument_calibrationDate","instrument_calibrationReport","instrument_calibrationSerial_id","instrument_calibrationDateNotes","instrument_calibrationReportNotes"
"40","2017-11-02","""GPCTD_0241_20171020_P.pdf, GPCTD_0241_20171102_C.pdf, GPCTD_0241_20171102_T.pdf""","14","conductivity and temperature document","mergedFile"
"41","2019-12-29","""GPCTD_0241_20191203_P.pdf, GPCTD_0241_20191229_C.pdf, GPCTD_0241_20191229_T.pdf""","14","conductivity and temperature document","directory"
"42","2022-01-13","""GPCTD_0241_20211216_P.pdf, GPCTD_0241_20211221_C_postCruise.pdf, GPCTD_0241_20211221_T_postCruise.pdf, GPCTD_0241_20220113_C.pdf, GPCTD_0241_20220113_T.pdf""","14","conductivity and temperature document","directory"
"43","2017-11-03","""AROD_FT_0020_20171103.pdf""","16","oxygen sensor page","singleFile"
"44","2020-01-22","""AROD_FT_0020_20200122.pdf""","16","oxygen sensor page","singleFile"
"45","2020-03-16","""MFLUV1_7_20200316.pdf""","17","main page, conflicts with GliderMissions.xlxs","singleFile"
"46","2017-05-04","""FLBBCD_4739_20170504.pdf""","15","SLC testing certification page","singleFile"
"47","2023-02-26","""SEA024_CTD_DO_calib_files_SN0188_2023""","11","temperature sensor document","directory"
"48","2023-01-21","""SEA024_CTD_DO_calib_files_SN0188_2023""","12","SOCadjusted document","directory"
"49","2023-01-09","""20230321101943333.pdf""","18","document not in original platform directory","singleFile"
"50","2020-11-25","""RINKO_inHouseCal""","16","row labelled as Calibration","spreadsheet"
"51","2022-02-05","""SEA032_RINKO_calib_files_SN0020_2022""","16","oxygen sensor page","singleFile"
"52","2024-04-28","""GPCTD_0186_20231129_P_Post Cruise.pdf, GPCTD_0186_20231201_C_Post Cruise.pdf, GPCTD_0186_20231201_T_Post Cruise.pdf, GPCTD_0186_20240428_C.pdf, GPCTD_0186_20240428_T.pdf""","1","nan","nan"
"53","2024-04-24","""43F_3338_20231010_postCruise.pdf, 43F_3338_20240127.pdf, 43F_3338_20240424.pdf, 43F_3338_20240424_SOCAdjusted.pdf""","2","nan","nan"
"54","2023-10-11","""GPCTD_0175_20231004_P.pdf, GPCTD_0175_20231011_C.pdf, GPCTD_0175_20231011_T.pdf""","8","nan","nan"
"55","2023-09-29","""43F_3276_20230929_postCruise.pdf, 43F_3276_20230929_SOCAjusted.pdf""","9","nan","nan"
"56","2024-05-10","""43F_3276_20240510.pdf, 43F_3276_20240510_SOCAdjusted.pdf""","9","nan","nan"
"57","2024-01-17","""GPCTD_0188_20231004_P.pdf, GPCTD_0188_20231004_P_postCruise.pdf, GPCTD_0188_20231024_C_postCruise.pdf, GPCTD_0188_20231024_T_postCruise.pdf, GPCTD_0188_20240117_C.pdf, GPCTD_0188_20240117_T.pdf""","11","nan","nan"
"58","2024-01-31","""43F_3365_20240131.pdf""","12","nan","nan"
"59","2024-01-19","""GPCTD_0241_20231103_P.pdf, GPCTD_0241_20231109_C_Post Cruise.pdf, GPCTD_0241_20231109_T_Post Cruise.pdf, GPCTD_0241_20240119_C.pdf, GPCTD_0241_20240119_T.pdf""","14","nan","nan"
"60","2023-12-16","""AROD_FT_0020_20231216.pdf, AROD_FT_0020_20231216_report.pdf""","16","nan","nan"
"61","2022-04-27","""LEGATO_210185_20220427_neverUsedHadMoneyToSpend.pdf""","18","nan","nan"
"62","2023-09-06","""LEGATO_210185_20230906.pdf""","18","nan","nan"
"63","2023-11-15","""LEGATO_210185_20231115.pdf""","18","nan","nan"
